author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Навигатор недвижимости;https://www.cian.ru/sale/flat/288407021/;Москва;sale;flat;15;17;2;57.4;14790000;Выхино-Жулебино;Привольная;Лермонтовский проспект;
ПИК;https://www.cian.ru/sale/flat/286291462/;Москва;sale;flat;18;38;2;45.61;14770389;Южнопортовый;;Волгоградский проспект;Первый Дубровский ЖК
ПИК;https://www.cian.ru/sale/flat/276513423/;Москва;sale;flat;21;33;2;48.8;14701076;Нагатино-Садовники;;Коломенская;Второй Нагатинский ЖК
ПИК;https://www.cian.ru/sale/flat/287339801/;Москва;sale;flat;4;28;2;52.1;14733880;Щукино;Волоколамское шоссе;Стрешнево;Волоколамское 24
ID 90289798;https://www.cian.ru/sale/flat/288349266/;Москва;sale;flat;4;9;2;39.0;14700000;Можайский;Багрицкого;Кунцевская;
ИНФИНИТИ;https://www.cian.ru/sale/flat/286632337/;Москва;sale;flat;13;16;2;53.6;14900000;Тропарево-Никулино;Мичуринский проспект Олимпийская деревня;Озёрная;
Этажи Москва;https://www.cian.ru/sale/flat/277065480/;Москва;sale;flat;11;16;2;58.1;14800000;Марьино;Донецкая;Марьино;
Качанова и партнеры;https://www.cian.ru/sale/flat/285868380/;Москва;sale;flat;18;25;2;53.9;14900000;Орехово-Борисово Южное;Ясеневая;Зябликово;
Самолет Плюс Москва;https://www.cian.ru/sale/flat/283963337/;Москва;sale;flat;19;25;2;53.8;14900000;Люблино;Люблинская;Братиславская;Люблинский парк
ID 1168;https://www.cian.ru/sale/flat/276858297/;Москва;sale;flat;1;9;2;64.6;14950000;Кунцево;Ельнинская;Молодёжная;Ельнинская 14Б
А101;https://www.cian.ru/sale/flat/273049927/;Москва;sale;flat;9;9;2;53.3;14970316;;;Прокшино;
COLDY;https://www.cian.ru/sale/flat/279636994/;Москва;sale;flat;5;21;2;49.84;15024965;Нижегородский;;Калитники;Н'айс Лофт ЖК
Этажи Москва;https://www.cian.ru/sale/flat/278936732/;Москва;sale;flat;17;20;2;57.2;15000000;Лианозово;Новгородская;Лианозово;
ПИК;https://www.cian.ru/sale/flat/287465455/;Москва;sale;flat;6;33;2;51.1;15064469;Нагатино-Садовники;;Коломенская;Второй Нагатинский ЖК
Этажи Москва;https://www.cian.ru/sale/flat/288221651/;Москва;sale;flat;11;17;2;60.3;14990000;;;Рассказовка;
Этажи Москва;https://www.cian.ru/sale/flat/274552623/;Москва;sale;flat;5;5;2;44.3;15000000;Южное Тушино;Сходненская;Сходненская;
Этажи Москва;https://www.cian.ru/sale/flat/280381288/;Москва;sale;flat;8;12;2;40.0;15000000;Северное Медведково;Заревый проезд;Медведково;
do A.S.A.P.;https://www.cian.ru/sale/flat/276451729/;Москва;sale;flat;4;5;2;45.0;15000000;Свиблово;Снежная;Свиблово;
Монолит Столица;https://www.cian.ru/sale/flat/279292636/;Москва;sale;flat;1;19;2;70.0;15000000;Очаково-Матвеевское;Большая Очаковская;Аминьевская;
ДомЭль -  Отделение на Серпуховской;https://www.cian.ru/sale/flat/287239448/;Москва;sale;flat;1;5;2;45.0;15000000;Ломоносовский;Кравченко;Проспект Вернадского;
РГ-Девелопмент;https://www.cian.ru/sale/flat/284832022/;Москва;sale;flat;4;15;2;56.7;15235290;Головинский;Михалковская;Коптево;Михалковский
РГ-Девелопмент;https://www.cian.ru/sale/flat/280126562/;Москва;sale;flat;2;17;2;43.6;15172800;Савеловский;Старый Петровско-Разумовский проезд;Гражданская;Петровский парк II
Этажи Москва;https://www.cian.ru/sale/flat/288314230/;Москва;sale;flat;4;9;2;62.8;15200000;;;Прокшино;
СТАТУС;https://www.cian.ru/sale/flat/287766599/;Москва;sale;flat;4;45;2;79.7;15218715;Бирюлево Восточное;Михневская;Царицыно;Загорье
Этажи Москва;https://www.cian.ru/sale/flat/278001710/;Москва;sale;flat;4;14;2;49.57;15180000;Нижегородский;Нижегородская;Калитники;
