author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Sminex-Интеко;https://www.cian.ru/sale/flat/281686960/;Москва;sale;flat;2;6;5;176.6;306150000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
ID 413522;https://www.cian.ru/sale/flat/284851685/;Москва;sale;flat;11;11;5;227.64;340000000;Хамовники;Усачева;Спортивная;Садовые кварталы
KR Properties;https://www.cian.ru/sale/flat/287772358/;Москва;sale;flat;6;6;5;310.16;369090400;Хамовники;Зубовская;Парк Культуры;Metropol Serviced Residences
Gethome;https://www.cian.ru/sale/flat/286249493/;Москва;sale;flat;4;8;5;293.1;395685000;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
Донстрой;https://www.cian.ru/sale/flat/285523998/;Москва;sale;flat;52;53;5;419.6;386072000;Раменки;Пырьева;Ломоносовский проспект;Дом на Мосфильмовской
Premium Moscow;https://www.cian.ru/sale/flat/283743695/;Москва;sale;flat;19;21;5;202.75;195000000;Пресненский;Жилой Лаки кв-л;Беговая;Lucky
Донстрой;https://www.cian.ru/sale/flat/285523997/;Москва;sale;flat;52;53;5;471.5;465622675;Раменки;Пырьева;Ломоносовский проспект;Дом на Мосфильмовской
MHEstate;https://www.cian.ru/sale/flat/288217789/;Москва;sale;flat;7;7;5;200;93000000;Хамовники;1-й Обыденский переулок;Кропоткинская;
VESPER;https://www.cian.ru/sale/flat/269082249/;Москва;sale;flat;-1;-1;5;202;496064800;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky
Kalinka Group;https://www.cian.ru/sale/flat/286763302/;Москва;sale;flat;4;8;5;253.8;450000000;Тверской;переулок Брюсов;Тверская;Брюсов 19
VESPER;https://www.cian.ru/sale/flat/262519723/;Москва;sale;flat;-1;-1;5;202;557491440;Пресненский;Костикова;Улица 1905 года;Lucky
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/265207211/;Москва;sale;flat;7;7;5;230;260000000;Хамовники;1-й Зачатьевский переулок;Кропоткинская;
VESPER;https://www.cian.ru/sale/flat/266405826/;Москва;sale;flat;-1;-1;5;202;715918500;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky
PEOPLE;https://www.cian.ru/sale/flat/278088648/;Москва;sale;flat;9;11;5;270;229900000;Тверской;3-я Тверская-Ямская;Маяковская;Тверской
Sminex-Интеко;https://www.cian.ru/sale/flat/286944815/;Москва;sale;flat;1;6;5;467.2;889790000;Хамовники;3-й Обыденский переулок;;Клубный дом Обыденский № 1
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/286676929/;Москва;sale;flat;4;8;5;253.8;450000000;Тверской;переулок Брюсов;Тверская;Брюсов 19
Тауэрс;https://www.cian.ru/sale/flat/286914245/;Москва;sale;flat;66;66;5;593.3;978945000;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
Whitewill;https://www.cian.ru/sale/flat/287460794/;Москва;sale;flat;4;5;5;220;134000000;Красносельский;Сретенка;Сухаревская;
Sminex-Интеко;https://www.cian.ru/sale/flat/286944822/;Москва;sale;flat;1;6;5;434.2;1075310000;Хамовники;3-й Обыденский переулок;;Клубный дом Обыденский № 1
Кирилл Борисков;https://www.cian.ru/sale/flat/286622279/;Москва;sale;flat;4;7;5;235;210000000;Хамовники;2-й Обыденский переулок;Кропоткинская;
Capital Group;https://www.cian.ru/sale/flat/284503878/;Москва;sale;flat;64;67;5;153.55;223376862;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/287872316/;Москва;sale;flat;9;10;5;320;524466800;Хамовники;Усачева;Фрунзенская;Фьюжн парк
Sminex-Интеко;https://www.cian.ru/sale/flat/269936717/;Москва;sale;flat;13;13;5;203.5;187260000;Раменки;;Минская;Вест Гарден ЖК
PEOPLE;https://www.cian.ru/sale/flat/286393163/;Москва;sale;flat;5;6;5;247.7;160000000;Пресненский;Никитский бульвар;Арбатская;
Ташир;https://www.cian.ru/sale/flat/271161276/;Москва;sale;flat;21;21;5;214;107000000;Очаково-Матвеевское;Аминьевское шоссе;Давыдково;West Tower (Апартаменты бизнес-класса)
Contact Real Estate;https://www.cian.ru/sale/flat/284851458/;Москва;sale;flat;19;21;5;198.5;195000000;Пресненский;2-я Звенигородская;Улица 1905 года;Lucky
AB Development;https://www.cian.ru/sale/flat/238813311/;Москва;sale;flat;7;9;5;190.11;247143000;Раменки;Мосфильмовская;Ломоносовский проспект;Вишневый сад
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/284759259/;Москва;sale;flat;3;6;5;145.8;185000000;Пресненский;Скатертный переулок;Арбатская;
ENGEO Development;https://www.cian.ru/sale/flat/272695149/;Москва;sale;flat;4;6;5;340.79;966125475;Тверской;Большая Дмитровка;Театральная;Большая Дмитровка IX
Kalinka Group;https://www.cian.ru/sale/flat/285969147/;Москва;sale;flat;30;31;5;414;294508280;Очаково-Матвеевское;Нежинская;Кунцевская;Кутузовская Ривьера
