author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Level Group;https://www.cian.ru/sale/flat/286094649/;Москва;sale;flat;-1;-1;-1;202;12229140;Хорошево-Мневники;Причальный проезд;Шелепиха;Level Причальный
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/280468577/;Москва;sale;flat;4;4;-1;17.6;6190000;Мещанский;Средняя Переяславская;Рижская;
Forma;https://www.cian.ru/sale/flat/286682887/;Москва;sale;flat;-1;-1;-1;202;12621965;Щукино;Волоколамское шоссе;Стрешнево;Moments
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/282406641/;Москва;sale;flat;2;4;-1;20.2;7290000;Басманный;Радио;Бауманская;
Forma;https://www.cian.ru/sale/flat/287464759/;Москва;sale;flat;-1;-1;-1;202;13727884;Щукино;Волоколамское шоссе;Стрешнево;Moments
Татьяна Щербакова;https://www.cian.ru/sale/flat/287548004/;Москва;sale;flat;4;5;1;16.1;5957000;Красносельский;Краснопрудная;Красносельская;
Центр-Инвест;https://www.cian.ru/sale/flat/288172353/;Москва;sale;flat;19;22;1;31.3;21654366;Красносельский;Большая Спасская;Площадь трёх вокзалов;Dialog
REALTY PRО;https://www.cian.ru/sale/flat/288134023/;Москва;sale;flat;2;3;-1;11.8;3290000;Нижегородский;шоссе Фрезер;Нижегородская;
ПИК;https://www.cian.ru/sale/flat/285823449/;Москва;sale;flat;2;17;1;19.91;5049651;;;Щербинка;
REALTY PRО;https://www.cian.ru/sale/flat/287366332/;Москва;sale;flat;1;4;-1;17.3;7290000;Басманный;Радио;Бауманская;
ПИК;https://www.cian.ru/sale/flat/281939381/;Москва;sale;flat;17;17;1;22;5218953;Южное Бутово;;Щербинка;Никольские Луга ЖК
Светлана Киреева;https://www.cian.ru/sale/flat/287951641/;Москва;sale;flat;2;5;-1;16;8200000;Таганский;Марксистская;Марксистская;
Новые Ватутинки;https://www.cian.ru/sale/flat/282721773/;Москва;sale;flat;2;14;1;25.7;6129450;;;Ольховая;
Whitewill;https://www.cian.ru/sale/flat/286345549/;Москва;sale;flat;5;7;-1;38;31000000;Пресненский;Большой Тишинский переулок;Улица 1905 года;Sinatra
ПИК;https://www.cian.ru/sale/flat/284915010/;Москва;sale;flat;5;32;1;20.4;6286617;Северное Медведково;к1.3;Медведково;Полар ЖК
Whitewill;https://www.cian.ru/sale/flat/286935392/;Москва;sale;flat;2;13;-1;63;51000000;Арбат;Новый Арбат;Смоленская;Звёзды Арбата
ПИК;https://www.cian.ru/sale/flat/287893502/;Москва;sale;flat;10;21;-1;21.6;6485184;Сокольники;Сокольнический Вал;Рижская;Сокольнический вал 1
Татьяна Щербакова;https://www.cian.ru/sale/flat/287546035/;Москва;sale;flat;4;5;-1;11.5;4830000;Красносельский;Краснопрудная;Красносельская;
ПИК;https://www.cian.ru/sale/flat/280433176/;Москва;sale;flat;5;28;1;19.9;6596050;Гольяново;;Черкизовская;Амурский парк ЖК
REALTY PRО;https://www.cian.ru/sale/flat/285827271/;Москва;sale;flat;2;4;-1;15.5;5190000;Мещанский;Средняя Переяславская;Рижская;
ПИК;https://www.cian.ru/sale/flat/286830484/;Москва;sale;flat;23;33;1;19.8;6809096;Отрадное;;Владыкино;Сигнальный 16 ЖК
Msk Estate;https://www.cian.ru/sale/flat/284881108/;Москва;sale;flat;3;7;-1;25.1;5522000;Коптево;Клары Цеткин;Войковская;
А101;https://www.cian.ru/sale/flat/273049905/;Москва;sale;flat;4;9;1;21.2;7147632;;;Прокшино;
Виктор Долгорукий;https://www.cian.ru/sale/flat/287810299/;Москва;sale;flat;2;3;-1;17.6;5632000;Басманный;Большая Почтовая;Электрозаводская;
ПИК;https://www.cian.ru/sale/flat/286291273/;Москва;sale;flat;21;33;1;23.99;7153036;Рязанский;Михайлова;Окская;Михайловский парк
Msk Estate;https://www.cian.ru/sale/flat/287085863/;Москва;sale;flat;4;4;-1;19.2;5990000;Басманный;Радио;Бауманская;
ПИК;https://www.cian.ru/sale/flat/277827598/;Москва;sale;flat;2;25;1;20;7966380;Бутырский;к2.1;Бутырская;Руставели 14 ЖК
SRG;https://www.cian.ru/sale/flat/286923019/;Москва;sale;flat;7;14;1;28.8;6500000;;;Ольховая;
;https://www.cian.ru/sale/flat/285445277/;Москва;sale;flat;16;23;1;26.4;8074865;Некрасовка;Юго-Восточный ао;Некрасовка;Квартал Некрасовка ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/286597186/;Москва;sale;flat;1;4;1;15.4;6790000;Басманный;Радио;Бауманская;
Группа ЛСР;https://www.cian.ru/sale/flat/282541942/;Москва;sale;flat;5;52;1;23.7;8356165;Москворечье-Сабурово;;Москворечье;Вэйв ЖК
Msk Estate;https://www.cian.ru/sale/flat/287027603/;Москва;sale;flat;1;4;-1;17.3;6990000;Басманный;Радио;Бауманская;
ПИК;https://www.cian.ru/sale/flat/270794413/;Москва;sale;flat;20;21;1;23.3;8725850;Тимирязевский;3-й Нижнелихоборский проезд;Окружная;Большая Академическая 85
Виктор Долгорукий;https://www.cian.ru/sale/flat/284389920/;Москва;sale;flat;1;7;-1;20.6;5974000;Южнопортовый;6-я Кожуховская;Кожуховская;
ПИК;https://www.cian.ru/sale/flat/270787853/;Москва;sale;flat;33;33;1;20.11;8721553;Дмитровский;;Яхромская;Дмитровский Парк ЖК
МИЭЛЬ офис В Солнечногорске;https://www.cian.ru/sale/flat/283478568/;Москва;sale;flat;1;9;-1;23;7000000;Коньково;Академика Волгина;Коньково;
ПИК;https://www.cian.ru/sale/flat/284914077/;Москва;sale;flat;21;32;1;26.4;10088459;Головинский;Кронштадтский бульвар;Водный стадион;Кронштадтский 9
Самолет Плюс Москва ЦАО;https://www.cian.ru/sale/flat/287391773/;Москва;sale;flat;12;22;1;25.5;8700000;;;;
Основа;https://www.cian.ru/sale/flat/287740141/;Москва;sale;flat;2;31;1;23.46;10416240;Марфино;;Улица Милашенкова;Вери ЖК
TPI Company;https://www.cian.ru/sale/flat/286121161/;Москва;sale;flat;2;4;-1;30.4;9120000;Хорошевский;Ленинградский проспект;Аэропорт;
ПИК;https://www.cian.ru/sale/flat/287672689/;Москва;sale;flat;3;9;1;19.96;4560813;;;Филатов Луг;Середневский Лес ЖК
Whitewill Москва-Сити;https://www.cian.ru/sale/flat/285298197/;Москва;sale;flat;19;85;-1;19;16900000;Пресненский;1-й Красногвардейский проезд;Международная;МФК ОКО
ПИК;https://www.cian.ru/sale/flat/284916652/;Москва;sale;flat;20;25;1;19.7;4825314;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
Msk Estate;https://www.cian.ru/sale/flat/287953885/;Москва;sale;flat;2;3;-1;11.8;3290000;Нижегородский;шоссе Фрезер;Нижегородская;
