author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
GloraX;https://www.cian.ru/sale/flat/287277475/;Москва;sale;flat;2;21;-1;34.19;21299999;Беговой;1-я Ямского Поля;Белорусская;GloraX Premium Белорусская
НИИМосстрой;https://www.cian.ru/sale/flat/287002213/;Москва;sale;flat;14;28;1;35.1;21430553;Раменки;Винницкая;Раменки;Настоящее
ФСК;https://www.cian.ru/sale/flat/273735044/;Москва;sale;flat;-1;-1;-1;202.0;21501130;Хорошево-Мневники;к5/1;Карамышевская;Сидней Сити ЖК
НИИМосстрой;https://www.cian.ru/sale/flat/287002516/;Москва;sale;flat;7;28;1;36.9;21630952;Раменки;Винницкая;Раменки;Настоящее
MR Group;https://www.cian.ru/sale/flat/288088061/;Москва;sale;flat;4;10;-1;34.2;22000024;Беговой;Северный ао;Белорусская;Слава ЖК
НИИМосстрой;https://www.cian.ru/sale/flat/287002362/;Москва;sale;flat;7;28;1;36.9;22108567;Раменки;Винницкая;Раменки;Настоящее
Hutton Development;https://www.cian.ru/sale/flat/287039352/;Москва;sale;flat;6;8;-1;33.94;22298580;Гагаринский;;Ленинский проспект;Лунар ЖК
Аеон-Девелопмент;https://www.cian.ru/sale/flat/274260506/;Москва;sale;flat;-1;-1;-1;202.0;22522283;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
GloraX;https://www.cian.ru/sale/flat/287277500/;Москва;sale;flat;6;21;-1;31.43;22599999;Беговой;1-я Ямского Поля;Белорусская;GloraX Premium Белорусская
Moscow Estate;https://www.cian.ru/sale/flat/274829105/;Москва;sale;flat;23;26;-1;26.7;22990000;Арбат;Новый Арбат;Арбатская;The Book
Forma;https://www.cian.ru/sale/flat/286684965/;Москва;sale;flat;-1;-1;-1;202.0;23058221;Пресненский;;Белорусская;Репаблик ЖК
Аеон-Девелопмент;https://www.cian.ru/sale/flat/285872940/;Москва;sale;flat;18;45;1;36.2;23877239;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Аеон-Девелопмент;https://www.cian.ru/sale/flat/274260628/;Москва;sale;flat;-1;-1;-1;202.0;24359204;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
SHOW ME;https://www.cian.ru/sale/flat/285374407/;Москва;sale;flat;2;3;-1;33.7;27761000;Тверской;Петровский бульвар;Чеховская;
BOYKOV Company;https://www.cian.ru/sale/flat/286376796/;Москва;sale;flat;1;9;1;50.0;29000000;Даниловский;Хавская;Шаболовская;Композиция №24
Etagi Prime;https://www.cian.ru/sale/flat/279667287/;Москва;sale;flat;30;82;-1;32.6;29300000;Пресненский;1-й Красногвардейский проезд;Деловой центр;
GRAVION;https://www.cian.ru/sale/flat/284824186/;Москва;sale;flat;2;9;-1;27.81;29564481;Якиманка;Ленинский проспект;Октябрьская;Клубный дом CULT
Ментор Девелопмент;https://www.cian.ru/sale/flat/279553671/;Москва;sale;flat;30;85;-1;33.7;30330000;Пресненский;1-й Красногвардейский проезд;Деловой центр;
SHOW ME;https://www.cian.ru/sale/flat/285244239/;Москва;sale;flat;3;3;-1;38.2;34416000;Тверской;Петровский бульвар;Чеховская;
А101;https://www.cian.ru/sale/flat/273050209/;Москва;sale;flat;11;15;1;19.2;7624612;;;Прокшино;
Дома Мечты;https://www.cian.ru/sale/flat/288420270/;Москва;sale;flat;1;9;1;11.0;2750000;Гольяново;Черницынский проезд;Щёлковская;
Дома Мечты;https://www.cian.ru/sale/flat/288417197/;Москва;sale;flat;1;5;1;11.0;2950000;;;Щербинка;
Дома Мечты;https://www.cian.ru/sale/flat/287234247/;Москва;sale;flat;1;9;1;11.0;2950000;Ховрино;Петрозаводская;Беломорская;
Этажи Москва;https://www.cian.ru/sale/flat/284458047/;Москва;sale;flat;3;4;-1;11.7;2972000;Северное Измайлово;Сиреневый бульвар;Щёлковская;
NEWPOLIS;https://www.cian.ru/sale/flat/285851020/;Москва;sale;flat;1;5;-1;11.5;3350000;Даниловский;Автозаводская;Автозаводская;
ID 88899747;https://www.cian.ru/sale/flat/272634949/;Москва;sale;flat;5;5;-1;15.0;3350000;Текстильщики;1-й Грайвороновский проезд;Текстильщики;
ID 92000627;https://www.cian.ru/sale/flat/283744760/;Москва;sale;flat;6;7;-1;18.0;3500000;Южное Бутово;Адмирала Руднева;Бунинская аллея;
ID 92000627;https://www.cian.ru/sale/flat/276826994/;Москва;sale;flat;6;7;-1;21.9;3675000;Южное Бутово;Адмирала Руднева;Бунинская аллея;
Дома Мечты;https://www.cian.ru/sale/flat/288420870/;Москва;sale;flat;1;9;1;16.5;3750000;Гольяново;Черницынский проезд;Щёлковская;
Дома Мечты;https://www.cian.ru/sale/flat/287510843/;Москва;sale;flat;1;9;1;14.8;3750000;Ховрино;Петрозаводская;Беломорская;
Этажи Москва;https://www.cian.ru/sale/flat/283904715/;Москва;sale;flat;2;17;-1;13.3;3810000;Таганский;Марксистская;Пролетарская;
Дома Мечты;https://www.cian.ru/sale/flat/287584548/;Москва;sale;flat;1;9;1;16.5;3950000;Ховрино;Петрозаводская;Беломорская;
Этажи Москва;https://www.cian.ru/sale/flat/285548713/;Москва;sale;flat;1;5;-1;17.0;3990000;Останкинский;Мурманский проезд;Алексеевская;
Этажи Москва;https://www.cian.ru/sale/flat/282725679/;Москва;sale;flat;6;10;-1;10.0;4200000;Западное Дегунино;Дегунинская;Селигерская;Дегунин
Владис;https://www.cian.ru/sale/flat/272953784/;Москва;sale;flat;5;6;-1;21.9;4250000;Южнопортовый;Петра Романова;Дубровка;
Этажи Москва;https://www.cian.ru/sale/flat/284371384/;Москва;sale;flat;1;1;-1;16.4;4291000;Войковский;Клары Цеткин;Войковская;
Этажи Москва;https://www.cian.ru/sale/flat/284400636/;Москва;sale;flat;1;14;1;18.6;4350000;Южное Бутово;2-я Мелитопольская;Бутово;
Навигатор;https://www.cian.ru/sale/flat/288322032/;Москва;sale;flat;2;9;-1;12.0;4400000;Западное Дегунино;Дегунинская;Селигерская;
