,district,average_temperature
0,Матушкино,5.760936073059361
1,Внуково,5.929006849315067
2,Савёлки,5.81222602739726
3,Силино,5.71222602739726
4,Крюково,5.86093607305936
5,Щукино,5.93703196347032
6,Старое Крюково,5.66093607305936
7,Дмитровский,5.833230593607305
8,Ховрино,5.783356164383561
9,Ломоносовский,5.630684931506848
10,Можайский,5.962317351598172
11,Ново-Переделкино,5.916609589041096
12,Строгино,6.079132420091324
13,Молжаниновский,5.896369863013699
14,Митино,5.928938356164384
15,Куркино,5.796369863013699
16,Крылатское,5.979132420091324
17,Солнцево,5.929897260273972
18,Головинский,5.93703196347032
19,Южное Тушино,6.0289383561643834
20,Северное Тушино,5.945742009132421
21,Покровское-Стрешнево,6.128938356164384
22,Очаково-Матвеевское,6.029897260273973
23,Левобережный,5.833230593607305
24,Фили-Давыдково,5.930684931506851
25,Обручевский,5.630684931506848
26,Раменки,5.83068493150685
27,Войковский,5.886632420091325
28,Сокол,5.886632420091325
29,Западное Дегунино,5.833230593607305
30,Проспект Вернадского,5.680605022831051
31,Южное Бутово,6.0572716894977185
32,Ясенево,5.538390410958905
33,Дорогомилово,6.030684931506849
34,Коньково,5.5877625570776255
35,Беговой,5.882659817351599
36,Коптево,5.837031963470319
37,Аэропорт,5.886632420091325
38,Пресненский,5.93345890410959
39,Северный,5.733230593607305
40,Бескудниковский,5.940068493150685
41,Гагаринский,5.820353881278539
42,Тимирязевский,5.882659817351599
43,Северное Бутово,5.953013698630136
44,Лианозово,5.890570776255708
45,Хамовники,6.020353881278539
46,Восточное Дегунино,5.890570776255708
47,Академический,5.720353881278538
48,Зюзино,5.720353881278538
49,Алтуфьевский,5.890570776255708
50,Марфино,5.882659817351599
51,Чертаново Центральное,5.902682648401826
52,Отрадное,6.0400684931506845
53,Арбат,5.982659817351599
54,Чертаново Южное,5.902682648401826
55,Бутырский,5.83345890410959
56,Тверской,5.882659817351599
57,Чертаново Северное,5.953013698630136
58,Якиманка,6.120353881278539
59,Котловка,5.770182648401827
60,Останкинский,5.882659817351599
61,Донской,5.970182648401827
62,Бибирево,5.940068493150685
63,Нагорный,5.720353881278538
64,Свиблово,6.0400684931506845
65,Даниловский,6.170182648401827
66,Мещанский,5.93345890410959
67,Южное Медведково,5.990570776255708
68,Замоскворечье,6.070182648401826
69,Северное Медведково,5.994349315068492
70,Нагатино-Садовники,5.870182648401827
71,Москворечье-Сабурово,6.07527397260274
72,Царицыно,5.975273972602741
73,Басманный,6.104794520547944
74,Красносельский,6.0549200913242
75,Ростокино,6.1549200913242
76,Таганский,5.961347031963471
77,Алексеевский,6.104794520547944
78,Сокольники,6.0549200913242
79,Бабушкинский,6.044897260273973
80,Южнопортовый,5.961347031963471
81,Ярославский,5.944897260273971
82,Печатники,6.111586757990867
83,Богородское,6.104794520547944
84,Метрогородок,5.904794520547945
85,Лефортово,6.0549200913242
86,Орехово-Борисово Северное,5.975273972602741
87,Лосиноостровский,6.044897260273973
88,Нижегородский,6.011586757990868
89,Перово,6.069600456621005
90,Орехово-Борисово Южное,5.925536529680365
91,Марьино,6.111586757990867
92,Вешняки,5.979737442922374
93,Преображенское,6.0549200913242
94,Люблино,6.129623287671232
95,Текстильщики,6.011586757990868
96,Братеево,6.287933789954338
97,Зябликово,5.975273972602741
98,Рязанский,6.029623287671233
99,Измайлово,6.01950913242009
100,Новогиреево,5.979737442922374
101,Кузьминки,6.029623287671233
102,Гольяново,6.01950913242009
103,Северное Измайлово,6.01950913242009
104,Капотня,6.13695205479452
105,Выхино-Жулебино,6.079737442922375
106,Восточное Измайлово,6.069600456621005
107,Ивановское,6.119509132420092
108,Косино-Ухтомский,6.133333333333333
109,Новокосино,6.033333333333333
110,Некрасовка,6.233333333333333
111,Кунцево,6.289132420091325
